group_id,cell_type,training_count,log10_training_count,n_real,n_gen,centroid_cosine,frechet_distance,diversity_ratio,expr_pearson_r
27,Pancreatic beta cells,1912,3.2814878879400813,1912,100,0.9495786428451538,1.0441407544405648,0.9101972579956055,0.9999034404754639
26,Hepatocytes,2004,3.301897717195208,2004,100,0.887108325958252,1.0996922839189636,0.871361255645752,0.9999181032180786
25,Mucus-secreting goblet cells,2018,3.3049211619008916,2018,100,0.9228385090827942,1.1250383820563772,0.9488305449485779,0.9999738931655884
24,Tip and angiogenic endothelial cells,2075,3.3170181010481117,2075,100,0.9375531077384949,1.1243174795887216,0.9152083396911621,0.9999843239784241
23,Microglia,2207,3.343802333161655,2207,100,0.9278737902641296,1.1094768649805236,0.9384385347366333,0.9999790191650391
22,Radial glial and neural progenitor cells,2699,3.431202884556517,2699,100,0.9195175170898438,1.1210891983083426,0.9490633010864258,0.9999493360519409
21,Merkel cells,2850,3.45484486000851,2850,100,0.9375596046447754,1.083431627451935,0.9342626929283142,0.9999476671218872
20,Antibody-secreting plasma cells,2870,3.4578818967339924,2870,100,0.8916407823562622,1.1435666385134744,0.9579119682312012,0.9999831914901733
19,Vascular endothelial cells,2934,3.4674601095072637,2934,100,0.9182016253471375,1.1211468301750376,0.9307668209075928,0.99998539686203
18,Smooth muscle cells,3337,3.5233562066547925,3337,100,0.7522714138031006,1.1607516400146494,0.930176854133606,0.9999658465385437
17,Actively proliferating cells,3338,3.5234863323432277,3338,100,0.8785009980201721,1.160288514679642,0.9594436883926392,0.9999317526817322
16,Interferon-stimulated cells,3559,3.551327988003846,3559,100,0.9000433683395386,1.1333873802405967,0.9514392018318176,0.9999710917472839
15,Cholangiocytes and bile duct epithelial cells,3578,3.553640336231354,3578,100,0.9193743467330933,1.1334768148362981,,0.9999529719352722
13,Erythroid lineage cells,4326,3.636086515103073,4326,100,0.920075535774231,1.1424577716145856,0.9520648717880249,0.999941885471344
14,CD4+FOXP3+ regulatory T cells (Tregs),4817,3.682776646314434,4817,100,0.9164872169494629,1.1252194881468371,0.9505858421325684,0.9999787211418152
10,Neutrophils,4875,3.687974620034556,4875,100,0.8988745808601379,1.1501071889825227,0.9627202749252319,0.9999681711196899
12,Alveolar type 2 (AT2) pneumocytes,5144,3.7113009599161657,5144,100,0.9168372750282288,1.112769249926083,0.9073927998542786,0.9999608993530273
11,B lymphocytes,5201,3.716086853774832,5201,100,0.9392297267913818,1.102202930690606,0.9346482157707214,0.9999439716339111
7,Circulating monocytes,5523,3.742175043223677,5523,100,0.8832444548606873,1.1502372221987613,0.9616599082946777,0.9999874234199524
9,Natural killer (NK) cells,5643,3.751510050270041,5643,100,0.8951051235198975,1.1449869870579752,0.9651545286178589,0.9999599456787109
3,Fibroblasts and mesenchymal stromal cells,5718,3.75724415102197,5718,100,0.8462300896644592,1.1537918403387124,,0.9999732375144958
4,Actively cycling cells in S/G2/M phase,6145,3.788521887222473,6145,100,0.891230046749115,1.148550241724788,0.9571206569671631,0.999931275844574
5,Tissue-resident macrophages,6191,3.791760804012905,6191,100,0.8902370929718018,1.1476674716185342,0.9634778499603271,0.9999856948852539
1,MHC-II-high antigen-presenting cells,6827,3.8342299028516775,6827,100,0.9010593891143799,1.1394243778425146,0.957508385181427,0.9999738335609436
6,CD4+ helper T lymphocytes,7061,3.8488662114947796,7061,100,0.9025187492370605,1.1313872279526285,0.954173743724823,0.9999446868896484
2,Heat-shock and stress response cells,8283,3.9181876613589255,8283,100,0.8599733710289001,1.1565418897699622,0.9587030410766602,0.999941885471344
0,CD8+ cytotoxic T lymphocytes,8782,3.943593432768369,8782,100,0.8654516935348511,1.1446104079128616,0.9627344012260437,0.9999293684959412
