group_id,cell_type,organism_group,n_real,n_gen,centroid_cosine,frechet_distance,diversity_ratio,real_intra_cos,gen_intra_cos,expr_pearson_r
10,Neutrophils,both,4875,100,0.8988745808601379,1.1501071889825227,0.9627202749252319,0.040239084511995316,0.07601866126060486,0.9999681711196899
38,Pancreatic alpha cells,both,1420,100,0.9455161094665527,1.0816564530803277,0.9118788838386536,0.09673033654689789,0.17632745206356049,0.9999595284461975
67,Pericytes and mural cells,both,138,100,0.8955007791519165,0.9761992936157347,1.095546007156372,0.36709296703338623,0.3066211938858032,0.9999778270721436
45,Pluripotent stem cells (embryonic stem cells and induced pluripotent stem cells),both,1170,100,0.9415566921234131,1.0647761862936997,,,,0.9999447464942932
22,Radial glial and neural progenitor cells,both,2699,100,0.9195175170898438,1.1210891983083426,0.9490633010864258,0.06996595859527588,0.11733884364366531,0.9999493360519409
47,Retinal ganglion cells,both,1074,100,0.8830581903457642,1.0587623969114155,0.8883460164070129,0.13000978529453278,0.2271476536989212,0.9999277591705322
18,Smooth muscle cells,both,3337,100,0.7522714138031006,1.1607516400146494,0.930176854133606,0.058481812477111816,0.1242215484380722,0.9999658465385437
44,Spinal cord interneurons,both,1220,100,0.8069390654563904,1.1596363213868184,0.9355648159980774,0.06481151282787323,0.12507058680057526,0.9999285340309143
24,Tip and angiogenic endothelial cells,both,2075,100,0.9375531077384949,1.1243174795887216,0.9152083396911621,0.0553375780582428,0.13543707132339478,0.9999843239784241
5,Tissue-resident macrophages,both,6191,100,0.8902370929718018,1.1476674716185342,0.9634778499603271,0.027019977569580078,0.06255532801151276,0.9999856948852539
19,Vascular endothelial cells,both,2934,100,0.9182016253471375,1.1211468301750376,0.9307668209075928,0.05973039194941521,0.1248282641172409,0.99998539686203
0,CD8+ cytotoxic T lymphocytes,human_only,8782,100,0.8654516935348511,1.1446104079128616,0.9627344012260437,0.023249737918376923,0.05964895710349083,0.9999293684959412
60,Conventional dendritic cells,human_only,492,100,0.9281350374221802,1.0146828726014432,0.9414231181144714,0.20608682930469513,0.2525917887687683,0.9999804496765137
34,Hematopoietic stem and progenitor cells (HSPCs),human_only,1530,100,0.9341170787811279,1.1228877076814898,,,,0.9999483227729797
26,Hepatocytes,human_only,2004,100,0.887108325958252,1.0996922839189636,0.871361255645752,0.10596691817045212,0.22097419202327728,0.9999181032180786
50,Intermediate neural progenitors (INPs),human_only,970,100,0.9480822086334229,0.9586156251314502,0.9768679738044739,0.26751458644866943,0.2844584584236145,0.9999555945396423
68,Kidney proximal tubule cells,human_only,77,100,0.7688666582107544,1.1821981922987943,1.1657873392105103,0.3545062839984894,0.24749161303043365,0.9999338388442993
41,Luminal epithelial cells,human_only,1235,100,0.9214144349098206,1.1102888325207751,0.9391916990280151,0.07119680196046829,0.12767572700977325,0.9999521970748901
53,Lymphatic endothelial cells,human_only,887,100,0.9379585981369019,1.0354333748937186,0.9215081930160522,0.1495516151189804,0.21630483865737915,0.9999864101409912
51,Megakaryocytes,human_only,967,100,0.915176272392273,1.1432044476957888,0.964428722858429,0.07722865045070648,0.11005280911922455,0.9999790787696838
21,Merkel cells,human_only,2850,100,0.9375596046447754,1.083431627451935,0.9342626929283142,0.11071889847517014,0.16917784512043,0.9999476671218872
63,Mesenchymal stem and stromal cells (MSCs),human_only,394,100,0.9048857688903809,1.0315116737613559,,,,0.9999846816062927
52,Multiciliated epithelial cells,human_only,935,100,0.966721773147583,0.9391249142998666,0.9103947877883911,0.2402367740869522,0.3083155155181885,0.9999893307685852
66,Myoepithelial and basal cells,human_only,242,100,0.9019686579704285,0.8761107168789766,1.0526587963104248,0.3762328326702118,0.34338605403900146,0.9999889731407166
55,Neuroendocrine cells,human_only,727,100,0.9245464205741882,1.0443217865672727,0.8622847199440002,0.1507566273212433,0.2677103877067566,0.9999584555625916
62,Pituitary gonadotroph cells,human_only,396,100,0.9303374886512756,1.0873011651793207,0.9715214967727661,0.1512317657470703,0.1754034012556076,0.9999837875366211
65,Pituitary thyrotroph cells,human_only,295,100,0.9288837909698486,1.011731436016455,0.9722157716751099,0.2212671935558319,0.24290373921394348,0.9999599456787109
48,Plasmacytoid dendritic cells (pDCs),human_only,1032,100,0.9533857703208923,1.016008844890307,0.9382144808769226,0.1796596646308899,0.23034483194351196,0.9999810457229614
30,Venous endothelial cells,human_only,1790,100,0.9445339441299438,1.039201457495348,0.9333800673484802,0.16759739816188812,0.2230520099401474,0.9999691843986511
59,Dorsal horn sensory neurons,mouse_only,656,100,0.7460094094276428,1.107503045889232,0.8063274025917053,0.17701521515846252,0.3364047706127167,0.9999656081199646
57,Lower motor neurons,mouse_only,673,100,0.9638293981552124,0.9112599707665922,0.9223068356513977,0.2762562930583954,0.3324863016605377,0.9999211430549622
58,Oligodendrocyte precursor cells (OPCs),mouse_only,669,100,0.9557340741157532,0.8874075261454064,1.0094892978668213,0.3515961766242981,0.3454433083534241,0.9999878406524658
49,Oligodendrocytes,mouse_only,1002,100,0.9498991370201111,1.0424914092542745,0.9423054456710815,0.20216138660907745,0.24819228053092957,0.9999746680259705
27,Pancreatic beta cells,mouse_only,1912,100,0.9495786428451538,1.0441407544405648,0.9101972579956055,0.12835872173309326,0.2066345512866974,0.9999034404754639
61,Pancreatic delta cells,mouse_only,489,100,0.8957348465919495,1.1235523900306155,0.9237257242202759,0.09326864778995514,0.16242891550064087,0.9999296069145203
28,Prostate luminal epithelial cells,mouse_only,1902,100,0.9508481621742249,1.0561924973224355,0.9069621562957764,0.10740440338850021,0.19044959545135498,0.9999715089797974
33,Urothelial (transitional) epithelial cells,mouse_only,1583,100,0.9414480328559875,1.050906967643826,,,,0.9999601244926453
